NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 52 locations
DIMENSION : 52
TMAX : 1200
TPRIZE : 26718
MIN_PRIZE: 8015
MIN_PROB: 0.7
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 331 970
2 154 404
3 666 49
4 74 840
5 548 96
6 374 596
7 59 931
8 519 219
9 38 88
10 444 428
11 71 246
12 92 564
13 434 60
14 846 579
15 126 970
16 228 645
17 642 596
18 970 63
19 590 599
20 406 50
21 999 226
22 47 570
23 879 136
24 296 429
25 147 553
26 120 584
27 315 573
28 835 698
29 185 105
30 595 584
31 654 192
32 381 99
33 560 729
34 64 577
35 61 633
36 210 508
37 696 544
38 437 795
39 321 476
40 599 945
41 464 370
42 306 254
43 813 184
44 715 798
45 249 83
46 588 307
47 537 506
48 896 351
49 746 459
50 294 623
51 74 120
52 524 428
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.0
2 550 0.67
3 355 0.46
4 700 0.45
5 631 0.35
6 240 0.35
7 279 0.55
8 771 0.31
9 786 0.87
10 521 0.4
11 548 0.45
12 558 0.38
13 708 0.64
14 793 0.72
15 667 0.5
16 270 0.35
17 295 0.63
18 476 0.77
19 685 0.71
20 266 0.57
21 262 0.47
22 517 0.76
23 791 0.96
24 656 0.72
25 491 0.58
26 595 0.53
27 555 0.52
28 223 0.46
29 672 0.55
30 563 0.41
31 372 0.73
32 319 0.48
33 705 0.37
34 260 0.52
35 423 0.35
36 494 0.59
37 332 0.52
38 453 0.76
39 607 0.66
40 600 0.34
41 708 0.43
42 282 0.44
43 370 0.57
44 659 0.88
45 611 0.65
46 762 0.62
47 484 0.36
48 340 0.5
49 640 0.89
50 763 0.63
51 485 0.46
52 625 0.39
