NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 52 locations
DIMENSION : 52
TMAX : 1200
TPRIZE : 26500
MIN_PRIZE: 7950
MIN_PROB: 0.7
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 585 33
2 439 494
3 591 15
4 211 473
5 832 503
6 843 284
7 669 830
8 164 35
9 533 501
10 335 77
11 255 975
12 975 763
13 369 45
14 430 880
15 142 617
16 363 390
17 431 290
18 846 691
19 268 467
20 178 702
21 310 677
22 371 136
23 467 786
24 880 245
25 992 450
26 628 384
27 45 596
28 4 241
29 137 199
30 963 931
31 310 549
32 374 790
33 919 245
34 321 682
35 562 461
36 446 481
37 66 668
38 598 332
39 864 513
40 160 862
41 229 993
42 422 244
43 37 32
44 508 308
45 837 621
46 673 73
47 546 946
48 875 82
49 153 393
50 580 968
51 383 934
52 615 153
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.0
2 298 0.53
3 652 0.63
4 370 0.51
5 395 0.37
6 557 0.54
7 643 0.88
8 624 0.54
9 656 0.32
10 451 0.3
11 481 0.57
12 346 0.32
13 734 0.36
14 382 0.35
15 322 0.48
16 473 0.79
17 666 0.6
18 509 0.54
19 368 0.49
20 378 0.52
21 380 0.5
22 691 0.76
23 555 0.79
24 535 0.67
25 645 0.56
26 429 0.6
27 205 0.6
28 757 0.4
29 244 0.38
30 539 0.63
31 527 0.66
32 448 0.61
33 281 0.52
34 468 0.71
35 658 0.59
36 614 0.77
37 796 0.97
38 362 0.49
39 599 0.79
40 707 0.76
41 447 0.73
42 737 0.33
43 478 0.76
44 732 0.8
45 694 0.91
46 711 0.93
47 264 0.4
48 370 0.59
49 701 0.39
50 672 0.67
51 610 0.83
52 339 0.38
