NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 52 locations
DIMENSION : 52
TMAX : 1200
TPRIZE : 25699
MIN_PRIZE: 7709
MIN_PROB: 0.7
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 509 876
2 272 372
3 652 912
4 248 709
5 484 785
6 993 337
7 87 551
8 324 229
9 692 570
10 87 952
11 156 355
12 845 100
13 355 327
14 227 193
15 70 995
16 885 336
17 618 914
18 622 439
19 650 91
20 937 949
21 985 65
22 709 618
23 844 342
24 812 707
25 658 852
26 440 5
27 232 345
28 272 817
29 952 444
30 716 108
31 205 932
32 453 277
33 927 709
34 595 471
35 129 276
36 638 214
37 546 592
38 125 421
39 698 639
40 911 712
41 987 839
42 120 873
43 640 806
44 989 556
45 508 437
46 908 529
47 834 544
48 837 690
49 128 511
50 584 846
51 528 307
52 95 878
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.0
2 729 0.37
3 353 0.34
4 206 0.35
5 566 0.33
6 209 0.35
7 620 0.48
8 684 0.76
9 751 0.94
10 429 0.31
11 366 0.51
12 786 0.47
13 300 0.65
14 340 0.71
15 462 0.64
16 585 0.32
17 451 0.54
18 544 0.53
19 234 0.49
20 730 0.45
21 248 0.31
22 280 0.53
23 442 0.69
24 468 0.47
25 741 0.55
26 631 0.33
27 676 0.63
28 791 0.87
29 628 0.58
30 600 0.37
31 681 0.37
32 291 0.62
33 612 0.71
34 324 0.4
35 571 0.59
36 252 0.34
37 219 0.49
38 269 0.31
39 654 0.48
40 780 0.63
41 209 0.45
42 514 0.45
43 524 0.65
44 555 0.44
45 752 0.82
46 731 0.85
47 709 0.67
48 290 0.67
49 508 0.43
50 363 0.72
51 640 0.33
52 401 0.55
